	value	currency	investors	url
13	1200000000.0	USD	"[""California""]"	https://calseed.fund/stories/calseed-awards-2-7-million-to-clean-energy-startups-in-california/#:~:text=Oakland%2C%20CA%2C%2010%20February%202021,the%20third%20annual%20Prototype%20Awards.&text=One%20of%20these%20long%2Dterm%20goals%20is%20energy%20storage
14	27000000.0	USD	[]	https://calseed.fund/stories/calseed-awards-2-7-million-to-clean-energy-startups-in-california/#:~:text=Oakland%2C%20CA%2C%2010%20February%202021,the%20third%20annual%20Prototype%20Awards.&text=One%20of%20these%20long%2Dterm%20goals%20is%20energy%20storage
15	300000000.0	USD	[]	https://www.businesswire.com/news/home/20200422006008/en/Material-Science-Company-Equispheres-Secures-30-Million/?feedref=JjAwJuNHiystnCoBq_hl-Ymqj4g6qAlg7edDzhXcztJcgiwDl5F89IquLVWUqfRVgLxDkSKfgoruKb9yWl5as-PbWreMWuYBefATrZ0EPTUKvKXA1G4lfyVQLpVttJwGBSvR87
16	100000000.0	USD	"[""HG Ventures""]"	https://www.businesswire.com/news/home/20200422006008/en/Material-Science-Company-Equispheres-Secures-30-Million/?feedref=JjAwJuNHiystnCoBq_hl-Ymqj4g6qAlg7edDzhXcztJcgiwDl5F89IquLVWUqfRVgLxDkSKfgoruKb9yWl5as-PbWreMWuYBefATrZ0EPTUKvKXA1G4lfyVQLpVttJwGBSvR87
17	80000000.0	USD	"[""SDTC""]"	https://www.businesswire.com/news/home/20200422006008/en/Material-Science-Company-Equispheres-Secures-30-Million/?feedref=JjAwJuNHiystnCoBq_hl-Ymqj4g6qAlg7edDzhXcztJcgiwDl5F89IquLVWUqfRVgLxDkSKfgoruKb9yWl5as-PbWreMWuYBefATrZ0EPTUKvKXA1G4lfyVQLpVttJwGBSvR87
18	50000000.0	USD	"[""BDC""]"	https://www.businesswire.com/news/home/20200422006008/en/Material-Science-Company-Equispheres-Secures-30-Million/?feedref=JjAwJuNHiystnCoBq_hl-Ymqj4g6qAlg7edDzhXcztJcgiwDl5F89IquLVWUqfRVgLxDkSKfgoruKb9yWl5as-PbWreMWuYBefATrZ0EPTUKvKXA1G4lfyVQLpVttJwGBSvR87
19	70000000.0	USD	[]	https://www.businesswire.com/news/home/20200422006008/en/Material-Science-Company-Equispheres-Secures-30-Million/?feedref=JjAwJuNHiystnCoBq_hl-Ymqj4g6qAlg7edDzhXcztJcgiwDl5F89IquLVWUqfRVgLxDkSKfgoruKb9yWl5as-PbWreMWuYBefATrZ0EPTUKvKXA1G4lfyVQLpVttJwGBSvR87
20	15000000.0	USD	"[""Gemini Electric Mobility Co.""]"	https://www.businesswire.com/news/home/20210318005268/en/iSun-Announces-Strategic-Investments-to-Expand-Presence-in-Clean-Mobility-Infrastructure-Market/?feedref=JjAwJuNHiystnCoBq_hl-Q-tiwWZwkcswR1UZtV7eGe24xL9TZOyQUMS3J72mJlQ7fxFuNFTHSunhvli30RlBNXya2izy9
21	10000000.0	USD	"[""Nad Grid Corp""]"	https://www.businesswire.com/news/home/20210318005268/en/iSun-Announces-Strategic-Investments-to-Expand-Presence-in-Clean-Mobility-Infrastructure-Market/?feedref=JjAwJuNHiystnCoBq_hl-Q-tiwWZwkcswR1UZtV7eGe24xL9TZOyQUMS3J72mJlQ7fxFuNFTHSunhvli30RlBNXya2izy9
22	80000000.0	USD	"[""Maveron""]"	https://www.businesswire.com/news/home/20200922005290/en/Not-Chicken-Plant-based-Protein-Brand-daring-Raises-8-Million/?feedref=JjAwJuNHiystnCoBq_hl-RLXHJgazfQJNuOVHefdHP-D8R-QU5o2AvY8bhI9uvWSD8DYIYv4TIC1g1u0AKcacnnViVjtb72bOP4-4nHK5ieT3WxPE8m_kWI77F87CseT
23	130000000.0	USD	"[""FoodTech"", ""Australia"", ""Us"", ""FoodTech""]"	https://agfundernews.com/food-waste-startup-hazel-technologies-raises-oversubscribed-13m-series-b-to-scale-up-production?utm_source=rss&utm_medium=rss&utm_campaign=food-waste-startup-hazel-technologies-raises-oversubscribed-13m-series-b-to-scale-up-pr
24	130000000.0	USD	"[""Hazel Technologies""]"	https://agfundernews.com/food-waste-startup-hazel-technologies-raises-oversubscribed-13m-series-b-to-scale-up-production?utm_source=rss&utm_medium=rss&utm_campaign=food-waste-startup-hazel-technologies-raises-oversubscribed-13m-series-b-to-scale-up-pr
25	130000000.0	USD	[]	https://agfundernews.com/food-waste-startup-hazel-technologies-raises-oversubscribed-13m-series-b-to-scale-up-production?utm_source=rss&utm_medium=rss&utm_campaign=food-waste-startup-hazel-technologies-raises-oversubscribed-13m-series-b-to-scale-up-pr
26	178000000.0	USD	[]	https://agfundernews.com/food-waste-startup-hazel-technologies-raises-oversubscribed-13m-series-b-to-scale-up-production?utm_source=rss&utm_medium=rss&utm_campaign=food-waste-startup-hazel-technologies-raises-oversubscribed-13m-series-b-to-scale-up-pr
